N3.2.1.5.6.22.9,22° 8′ S
N3.2.1.5.6.27.3,22° 10′ S,210° 18′ W
N3.2.1.5.6.28.7,21° 53′,210° 54′ W
N3.2.1.5.6.28.11,21° 29′ S,210° 54′ W
N3.2.1.5.6.28.13,21° 30′,210° 54′ W
N3.2.1.5.6.28.23,20° 56′,211° 28′ W
N3.2.1.5.6.28.27,20° 26′ S,211° 28′ W
N3.2.1.5.6.28.29,26° 36′ S,211° 28′ W
N3.2.1.5.6.28.35,19° 59′ S,211° 49′ W
N3.2.1.5.6.28.41,19° 47′ S,212° 32′ W
N3.2.1.5.6.28.43,19° 39′ S,212° 32′ W
N3.2.1.5.6.28.47,19° 12′ S,32° 30′ E
N3.2.1.5.6.29.6,19° 1′ S
N3.2.1.5.6.29.8,18° 49′ S
N3.2.1.5.6.30.7,17° 59′,213° 57′ W
N3.2.1.5.6.31.3,16° 57′ S,214° 6′ W
N3.2.1.5.6.31.5,16° 57′ S,214° 6′ W
N3.2.1.5.6.32.5,16° 20′ S
N3.2.1.5.8.5.3,16° 6′ S,214° 39′ W
N3.2.1.5.8.5.7,16° S
N3.2.1.5.8.10.3,15° 45′ S
N3.2.1.5.8.11.3,15° 41′ S
N3.2.1.5.8.11.5,15° 37′ S
N3.2.1.5.8.12.3,15° 26′ S
N3.2.1.5.10.17.7,15° 26′ S
N3.2.1.5.10.52.8,15° 16′ S,214° 45′ W
N3.2.1.5.10.52.12,15° 32′ S
N3.2.1.5.12.8.13,14° 51′,214′ 43′ W
N3.2.1.5.12.8.15,14° 56′ S,214′ 43′ W
N3.2.1.5.12.17.5,14° 38′
N3.2.1.5.12.19.3,14° 32′ S
N3.2.1.5.12.20.3,13° 46′ S,216° W
N3.2.1.5.12.20.5,13° 2′ S,216° W
N3.2.1.5.12.22.7,12° 38′ S,216° 45′ W
N3.2.1.5.12.22.11,12° 42′ S,127° 15′ W
N3.2.1.5.12.23.3,12° 28′
N3.2.1.5.12.24.5,12°,217° 25′
N3.2.1.5.12.25.3,11° 58′,217° 38′
N3.2.1.5.12.26.5,11° 23′ S,217° 46′ W
N3.2.1.5.12.27.7,10° 36′
N3.2.1.5.12.28.5,10° 37′
N3.2.1.5.12.28.7,10° 42′ S
N3.2.1.5.12.30.5,38°,211° 7′
N3.2.1.5.12.30.7,10½ S
N3.2.1.5.12.31.5,10° 43′ S,219° W
N3.2.1.5.12.31.9,10° 46′ S
N3.2.1.5.12.32.5,10° 33′ S,219° 22′ W
N3.2.1.5.12.33.3,10° 39′ S,218° 36′ W
N3.2.1.5.12.34.5,20°
N3.2.1.5.12.34.7,22°
N3.2.1.5.14.5.5,25° S
N3.2.1.5.14.43.5,32°
N3.2.1.5.14.43.7,24° 46′
N3.2.1.5.14.43.9,24° 30′
N3.2.1.5.15.5.5,10° 30′ S
N3.2.1.5.15.6.3,10° 18′ S,219° 39′ W
N3.2.1.5.15.7.3,10° 10′ S,220° 12′ W
N3.2.1.5.15.7.7,9° 56′ S,221° W
N3.2.1.5.15.7.15,8° 52′ S
N3.2.1.5.15.8.4,8° 13′ S,221° 25′ W
N3.2.1.5.15.8.10,8° 19′ S,221° 44′ W
N3.2.1.5.15.11.5,8° 30′ S,222° 34′ W
N3.2.1.5.15.13.3,6° 15′ S
N3.2.1.5.17.4.9,6° 44′ S,223° 51′ W
N3.2.1.5.17.4.17,7° 25′ S,225° 41′ W
N3.2.1.5.17.5.5,7° 6′ S,225° W
N3.2.1.5.17.7.3,8° 15′ S
N3.2.1.5.17.8.3,9° 30′ S,229° 34′ W
N3.2.1.5.17.9.7,9° 46′ S,232° 7′ W
